"This document was exported from Numbers.  Each table was converted to an Excel worksheet. All other objects on each Numbers sheet were placed on separate worksheets. Please be aware that formula calculations may differ in Excel.",,
,,
,,
,,
"Numbers Sheet Name","Numbers Table Name","Excel Worksheet Name"
,,
Nairn,,
,"Table 1",Nairn
Scarborough,,
,"Table 1",Scarborough
Holyhead,,
,"Table 1",Holyhead
Liverpool,,
,"Table 1",Liverpool
Pembroke,,
,"Table 1",Pembroke
"Scilly Islands",,
,"Table 1","Scilly Islands"
Penzance,,
,"Table 1",Penzance
London,,
,"Table 1",London
"London - Drawings",,
,"Table 1","London - Drawings"
Portsmouth,,
,"Table 1",Portsmouth
Brest,,
,"Table 1",Brest
Rochefort,,
,"Table 1",Rochefort
Toulon,,
,"Table 1",Toulon
Mogador,,
,"Table 1",Mogador
Biskra,,
,"Table 1",Biskra
Angra,,
,"Table 1",Angra
Algiers,,
,"Table 1",Algiers
"St Johns",,
,"Table 1","St Johns"
"La Coruna",,
,"Table 1","La Coruna"
Funchal,,
,"Table 1",Funchal
Greencastle,,
,"Table 1",Greencastle
Aberdeen,,
,"Table 1",Aberdeen
Valentia,,
,"Table 1",Valentia
Plymouth,,
,"Table 1",Plymouth
Galway,,
,"Table 1",Galway
"Roches Pt",,
,"Table 1","Roches Pt"
