"DWR French Records",,,,,,,,,,,,,
,,,,,,,,,,,,,
"LA CORUNA",,,,,,,,,,,,,
,,,,,,,,,,,,,
1871,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,,-9999,763.2,-9999,-9999,759.8,761.8,765.6,764.6,765.1,756.6,-9999,1
2,,-9999,765.1,-9999,-9999,763.4,759.2,762.5,767.1,-9999,761.1,755.6,2
3,767.1,-9999,763.8,-9999,-9999,766,763.3,765,764.4,-9999,757.5,-9999,3
4,-9999,-9999,766.3,-9999,-9999,766,-9999,767.4,762.6,-9999,-9999,763.2,4
5,771.1,-9999,764.6,-9999,-9999,765,769.7,770,760,-9999,757.1,756.7,5
6,776.7,764,-9999,-9999,-9999,768,770.4,763.7,-9999,765.5,-9999,759.2,6
7,772.7,775.8,-9999,-9999,-9999,765.4,767.2,762.6,766.1,-9999,-9999,760.8,7
8,767.8,774.4,772.7,-9999,-9999,766.9,768.2,765.3,763.5,761.3,-9999,757,8
9,-9999,773.8,776.7,-9999,-9999,766.1,764.7,761.9,-9999,762.2,752.5,758.2,9
10,767.2,770.6,776.4,-9999,-9999,-9999,761.1,764.5,759.8,-9999,-9999,761.2,10
11,763.6,766.2,771.3,-9999,-9999,-9999,764.7,-9999,759.2,764.9,753.5,762.8,11
12,-9999,763.6,762,-9999,-9999,764.2,767.1,761.6,758.1,768.2,-9999,763.1,12
13,771.9,766.7,767.1,-9999,-9999,-9999,765.4,760.3,759.6,768.3,766.3,773.6,13
14,766.9,-9999,761.6,-9999,-9999,762.2,765.2,-9999,759.6,766.8,768.6,-9999,14
15,-9999,765.2,764.6,-9999,-9999,761,767.3,763,760.6,765.2,761.7,765.7,15
16,-9999,763.7,765,-9999,-9999,755.9,-9999,766.4,765.4,763.2,760.4,768.4,16
17,-9999,769,763.3,-9999,-9999,759.3,762.9,766.1,765.4,762.2,767.8,765.4,17
18,-9999,772.1,-9999,-9999,-9999,760.9,763.3,-9999,765,-9999,766.9,764.3,18
19,760,772.4,-9999,-9999,-9999,766.4,763.9,765.8,759.2,753.2,-9999,764.4,19
20,-9999,770.7,-9999,-9999,-9999,768.4,766,766.7,752.1,-9999,768,761.6,20
21,-9999,770.8,-9999,-9999,-9999,-9999,763.3,766.1,753.5,766.2,763.3,759.3,21
22,-9999,771.4,-9999,-9999,-9999,764.6,762.8,765.3,761.3,770,768.8,-9999,22
23,759.6,772.4,-9999,-9999,-9999,761.6,765.3,766.8,758,767.9,771.3,751.9,23
24,762.6,771,-9999,-9999,755.6,-9999,766.2,765.4,-9999,-9999,761.1,764.2,24
25,760.6,763.8,-9999,-9999,760.3,766.9,764.4,765.8,750.8,772.7,759.1,764.2,25
26,761.3,762.4,-9999,-9999,761.5,771.5,760.9,767.2,-9999,770,756.3,761.1,26
27,765.5,768.2,-9999,-9999,765.9,771.1,758.2,767.4,758.6,766.2,755.5,760.9,27
28,766.4,767.3,-9999,-9999,762.8,767.8,-9999,762.7,-9999,-9999,744.4,750.7,28
29,762.9,,-9999,-9999,756.8,763.4,765.3,763.9,753.1,755.3,751.8,752,29
30,763.1,,-9999,-9999,759.8,763.1,767.4,766.2,-9999,751.4,751.4,754.7,30
31,759.8,,-9999,-9999,760.9,,766.7,765.3,,751.8,,-9999,31
